Fuente,Codigo-Cubo,Nombre,D.B. code,report_code,report_name,Path CSV,Estado,Transformaciones,Observaciones
APS,SPIM_0204_ERCSP,Estado de Resultados Entidades de Seguros de Personas,DB_BO_000015,D_BO_000000447_56,Estado de Resultados Entidades de Seguros de Personas,203,Analizado,"T3,T4,T7,T8,T9,T10,T12,T16","1085/1059 filas (con colisiones de valor menores) validadas Oct-Dic 2025 + Feb 2026, sin anomalías de signo (a diferencia de SPIM_0202_ERCSGF/_0203_BGCSP, acá los 26 valores negativos de la fuente SÍ se reflejan correctamente en negativo en el resultado — confirma que el problema de signo perdido es puntual por celda, no un defecto sistemático de este tipo de cubo). Mismo patrón de catálogo de compañías que SPIM_0203_BGCSP (ALI-P->ALI-V, LVI-P->LVI) pero aquí NAL-P->NAL-V (en _0203_BGCSP NAL-P se queda igual) — confirma una vez más que el catálogo de compañías no es fijo entre cubos, hay que verificarlo cada vez. Mismas 13 cuentas en 0 descartadas (no pertenecen al subconjunto 'siempre visible' de este cubo)."
APS,S_BOAPS_66_000655; SPIM_0027_VS,Penetración del SOAT a Nivel Nacional Por Departamento,.,D_BO_000000259_01,Penetración del SOAT a Nivel Nacional Por Departamento,"179,164",Pendiente,,
ADA,S_BOADA_11_000730,Precios Referenciales del Pollo,DB_BO_000017,D_BO_000000462_01,Precios Referenciales del Pollo,246,Analizado,"T1,T2,T4,T7,T8,T9,T10,T15",
ADUANA,S_BO_AN_44_000344,Recaudación Ordinaria Según Impuesto,DB_BO_000019,D_BO_000000012_01,Recaudación Ordinaria Según Impuesto,194,Analizado,"T2,T4,T7,T10,T12",
ADUANA,S_BO_AN_44_000345,Recaudación Ordinaria Según Tipo de Pago,DB_BO_000020,D_BO_000000012_02,Recaudación Ordinaria Según Tipo de Pago,(sin CSV informado),Pendiente,,
ADUANA,S_BO_AN_44_000346,Recaudación Ordinaria Según Impuesto,DB_BO_000021,D_BO_000000012_03,Recaudación Ordinaria Según Impuesto,269,Analizado,"T2,T3,T4,T7,T10,T12",
ADUANA,S_BO_AN_44_000347,Recaudación Liberada Según Acuerdo Preferencial y Disposición Liberatoria,DB_BO_000022,D_BO_000000012_04,Recaudación Liberada Según Acuerdo Preferencial y Disposición Liberatoria,228,Analizado,"T2,T3,T4,T7,T10,T12,T16",
ADUANA,S_BO_AN_44_000348,Recaudación Ordinaria Según Departamento,DB_BO_000023,D_BO_000000012_05,Recaudación Ordinaria Según Departamento,270,Analizado,"T2,T3,T4,T7,T10,T12",
ADUANA,S_BO_AN_44_000349,Recaudación Ordinaria Según Gerencia Regional y Administración de Aduana,DB_BO_000024,D_BO_000000012_06,Recaudación Ordinaria Según Gerencia Regional y Administración de Aduana,248,Analizado,"T2,T3,T4,T7,T10,T12,T16",
ADUANA,S_BO_AN_44_000350,Recaudación Ordinaria Según Tipo de Administración Aduanera,DB_BO_000025,D_BO_000000012_07,Recaudación Ordinaria Según Tipo de Administración Aduanera,252,Analizado,"T2,T3,T4,T7,T10,T12,T16",
ADUANA,S_BO_AN_44_000351,Recaudación por Importación Según Principal Capítulo de la NANDINA,DB_BO_000026,D_BO_000000012_08,Recaudación por Importación Según Principal Capítulo de la NANDINA,250,Analizado,"T2,T3,T4,T7,T8,T10,T12",
BBV,S_BOBBV_11_000581,Fondos de Inversión Cartera Participantes y Tasas de Rendimiento,DB_BO_000027,D_BO_000000481_01,Fondos de Inversión Cartera Participantes y Tasas de Rendimiento,349,Analizado,"T1,T2,T3,T4,T7,T9,T10,T12",
BBV,S_BOBBV_11_000582,Acciones Inscritas en Bolsa,DB_BO_000028,D_BO_000000481_02,Acciones Inscritas en Bolsa,350,Analizado,"T1,T4,T7,T9,T10",
BBV,S_BOBBV_11_000583,Tasas de Rendimiento Rango de Plazos en Días,DB_BO_000029,D_BO_000000481_03 a 04,(2 reportes: Compra Venta / Reporte),346,Analizado,"T1,T3,T7,T9,T10,T16",
BBV,S_BOBBV_12_000367,Montos Negociados en Bolsa - Resumen Diario,DB_BO_000030,D_BO_000000481_05,Montos Negociados en Bolsa - Resumen Diario,306,Analizado,"T1,T2,T3,T4,T7,T8,T9,T10,T16",
BBV,S_BOBBV_12_000368,Montos Negociados en Bolsa - Resumen Mensual/Anual,DB_BO_000031,D_BO_000000481_06 a 07,(2 reportes: Mensual / Anual),307,Analizado,"T1,T3,T4,T7,T10",
BBV,S_BOBBV_44_000413,Montos Negociados en Bolsa Consolidado,DB_BO_000032,D_BO_000000253_01,Montos Negociados en Bolsa Consolidado,344,Pendiente,,
BCB,S_BOBCB_22_000687,Resultado de Subasta Bonos - BCB,DB_BO_000036,D_BO_000000038_01,Resultado de Subasta Bonos - BCB,417,Analizado,"T1,T2,T3,T4,T5,T7,T9,T10,T12,T15",Pendiente de confirmar: el código de 'Serie' del CSV final no siempre coincide con el de la fuente para el mismo registro exacto (mismo plazo/motivo/montos) — parece reconstruirse con año+semana en vez de copiarse literal. No confirmado por falta de volumen/catálogo.
BOLCEREALES,S_ARBCER11_000609,Precios Índices y/o FOB Mínimos (Ministerio de Agroindustria),DB_BO_000038,D_BO_000000042_01,"Precios Índices y/o FOB Mínimos, en US$/tonelada",316,Analizado,"T1,T4,T7,T9,T10,T14,T16",
MDRyT,S_BOMDRT11_000610,Precio Mayorista. Prod. Agropecuarios,DB_BO_000041,D_BO_000000014_01,Precio Mayorista. Prod. Agropecuarios,509,Analizado,"T1,T4,T7,T9,T16","Anomalía: en 'Manga Manzana Importado', el valor 562.5 aparece bajo Cochabamba en la fuente, pero bajo La Paz en el CSV final (Oruro=575 sí coincide en ambos lados). Parece error de etiquetado de departamento en el proceso — reportar, no replicar."
MHE,S_BOMHE_12_000469,Precios Internacionales de Hidrocarburos,DB_BO_000042,D_BO_000000025_01,Precios Internacionales de Hidrocarburos,385,Analizado,"T1,T3,T4,T7,T8,T10,T15",
MHE,S_BOMHE_44_000714,Precios de Gas Natural en el Mercado Interno (/Mpc),DB_BO_000044,D_BO_000000025_03,Precios de Gas Natural en el Mercado Interno (/Mpc),421,Analizado,"T3,T4,T7,T8,T10,T15,T16","Anomalía: para Enero 2025, Sector Distribución, los 7 boletines fuente disponibles coinciden todos en 0,9796, pero el CSV final trae 0,9797 (un dígito distinto). Reportar, no replicar."
MULTIPLES,S_MUMUL_11_000684,Tasas de Interés Diarios Euribor / Prime Rate,DB_BO_000045,D_BO_000000496_01 / 497_01,(2 reportes: Euribor / Prime Rate US$),237,Analizado,"T1,T3,T7,T8,T9,T16",
MMYM,S_BOMMYM44_000667,Cotización de Minerales,DB_BO_000046,D_BO_000000490_01,Cotización de Minerales,143,Pendiente,,
FINRURAL,S_BOFINR44_000394,Clasificación de Cartera por Destino del Crédito - IFD,DB_BO_000050,D_BO_000000280_03,Clasificación de Cartera por Destino del Crédito - IFD,193,Analizado,"T3,T4,T7,T8,T9,T10,T12",
FINRURAL,S_BOFINR44_000396,Estratificación de Cartera por Monto del Crédito - IFD,DB_BO_000051,D_BO_000000280_04,Estratificación de Cartera por Monto del Crédito - IFD,192,Analizado,"T3,T4,T7,T8,T9,T10,T12,T16",
FINRURAL,S_BOFINR44_000433,Cobertura de la Red de Puntos de Atención y Empleados - IFD,DB_BO_000052,D_BO_000000280_05 a 06,(2 reportes),187,Analizado,"T3,T7,T8,T9,T10,T12,T16","El CSV tiene DOS columnas llamadas 'Empleados' (encabezado duplicado/erróneo): la primera es en realidad 'Puntos de Atención' y la segunda sí es 'Personal' (confirmado numérico). Además, el archivo fuente '_06' (desglose por Departamento) no tiene columna Departamento en este csv 187 — no está claro si pertenece a otro cubo/csv; confirmar con el cliente."
FINRURAL,S_BOFINR44_000435,Tasas de Interés según Moneda y Tipo de Crédito - IFD,DB_BO_000054,D_BO_000000280_07 a 08,(2 reportes),348,Analizado,"T2,T3,T5,T7,T9,T10","Anomalía (CIDRE, MN, los 3 meses recibidos: Ene/Feb/Mar 2026): en los Excel fuente, la categoría ""Microcredito Agropecuario"" aparece DOS VECES para CIDRE con el mismo nombre exacto pero valores distintos (10.00%/17.00% y 11.50%/11.50%). El CSV final sí las distingue: la de 11.50%/11.50% queda como ""Microcrédito Agropecuario"" y la de 10.00%/17.00% se renombra a ""Crédito Empresarial Agropecuario"" — un tipo de crédito que no existe como tal en el Excel fuente. No hay ninguna columna en el fuente que permita decidir cuál fila es cuál (mismo nv1, mismo nv4=Cidre); solo se puede inferir por el ORDEN de aparición en el archivo (1ra ocurrencia -> Crédito Empresarial Agropecuario, 2da ocurrencia -> Microcrédito Agropecuario), heurística no verificada. Reportar al equipo / revisar el PDF original de CIDRE antes de reproducir este criterio en otros meses."
FINRURAL,S_BOFINR44_00387,Indicadores Financieros - IFD,DB_BO_000055,D_BO_000000280_09,Indicadores Financieros - IFD,247,Analizado,"T3,T7,T9,T10,T16","Anomalía Febrero 2026 (no se repite en Ene/Mar/Abr): 3 celdas del CSV final quedan en 0.00% cuando la fuente trae un valor real (CRECER e Int.Penales Cartera V.T.+Ejec.T.=5.94%->0.00%; PROMUJER mismo indicador=0.18%->0.00%; CRECER Ingreso Financiero Promedio en Activos Productivos... =18.92%->0.00%, dentro de Cálculo Spread Efectivo). Ver detalle en hoja Índice. Además, dos etiquetas de Indicador Nv2 dentro de ""Cálculo Spread Efectivo"" llegan truncadas/con espacio perdido de forma consistente en todo el histórico (no es error puntual, es así desde siempre en este cubo) — reportar como posible límite de longitud de campo en el catálogo de indicadores, no corregir sin confirmar con el equipo."
FINRURAL,S_BOFINR44_00388,Calificación de Cartera por Institución - IFD,DB_BO_000056,D_BO_000000280_10,Calificación de Cartera por Institución - IFD,190,Analizado,"T3,T4,T7,T9,T10,T12","Nota T12: algunos valores fuente traen un espacio insertado a mitad del número (ej. '2 ,936,902,125'), además de coma de miles; se limpia igual (quitar espacios y comas). El texto '-' representa 0 y SÍ se mantiene como fila con valor 0.00 en el resultado (no se descarta la fila) — contrastar con S_BOFINR44_00389, donde el mismo símbolo '-' sí implica descartar la fila completa."
FINRURAL,S_BOFINR44_00389,Distribución de Cartera por Tipo de Crédito - IFD,DB_BO_000057,D_BO_000000280_11,Distribución de Cartera por Tipo de Crédito - IFD,223,Analizado,"T1,T3,T4,T7,T9,T10,T12","Nota T10: a diferencia de S_BOFINR44_00388 (mismo Cuadro de Indicadores IFD, mismo mes), aquí las filas con valor '-' (0) NO se mantienen — se descartan por completo (746 filas con valor >0 de 1,728 combinaciones posibles Entidad×Tipo Crédito×Área, confirmado exacto contra 223_datos_P.csv). Confirmar con el equipo si el criterio de mantener o descartar ceros depende del cubo o es una inconsistencia del proceso."
FINRURAL,SPIM_15001_ECI,Estado de Cartera por Institución y Zona - IFD,DB_BO_000058,D_BO_000000280_12,Estado de Cartera por Institución y Zona - IFD,167,Analizado,"T3,T4,T7,T9,T10,T16","Sin anomalías: 336/336 filas (3 meses x 8 entidades x 2 áreas x 7 categorías de cartera) validadas exactas contra 167_datos_P.csv, incluyendo la conversión US$ (÷6.86). Introduce catálogo nuevo ""Tipo Institución"" (Banca Comunal / Enfoque Integral / Enfoque Productivo) que no existe en ningún Excel fuente — mismo patrón T16 que ""orden Indicador"" en S_BOFINR44_00387."
FINRURAL,SPIM_15002_NCI,Número de Clientes por Institución y Departamento - IFD 01,DB_BO_000059,D_BO_000000280_13,Número de Clientes por Institución y Departamento - IFD 01,166,Analizado,"T3,T7,T9,T10,T16","Sin anomalías: 96/96 filas (3 meses x 8 entidades x 2 áreas x 2 géneros) validadas exactas contra 166_datos_P.csv. Nota: pese a que el nombre del cubo dice ""por Institución y Departamento"", el Excel fuente NO trae desglose por Departamento (solo Nacional/Urbano/Rural); el CSV final tampoco lo tiene. Reutiliza el catálogo T16 ""Tipo Institución"" ya visto en SPIM_15001_ECI."
FINRURAL,SPIM_15003_ECD,Estado de Cartera por Departamentos y Zonas - IFD,DB_BO_000060,D_BO_000000280_14,Estado de Cartera por Departamentos y Zonas - IFD,210,Analizado,"T3,T4,T7,T9,T10,T12","Sin anomalías: 372/372 filas (3 meses x 9 departamentos x 2 áreas x 7 categorías, tras excluir combinaciones en 0) validadas exactas contra 210_datos_P.csv, incluyendo conversión US$ (÷6.86). Mismo criterio de ""descartar fila si el valor fuente es 0"" que S_BOFINR44_00389 (T10) — patrón que se repite en varios cubos de Cartera por Departamento."
FINRURAL,SPIM_15004_NCD,Número de Clientes por Institución y Departamento - IFD 02,DB_BO_000061,D_BO_000000280_15,Número de Clientes por Institución y Departamento - IFD 02,168,Analizado,"T3,T7,T8,T9,T10","Anomalía real (no replicar): el CSV final trae una tercera categoría de 'Género' llamada 'Empresa' para TODAS las combinaciones Departamento×Área×Mes (54 filas en Ene-Mar 2026), pero con Cantidad=NaN en el 100% de los casos — no existe ningún dato equivalente en el Excel fuente (que solo trae Hombres/Mujeres/Total Clientes). Parece un artefacto estructural del pipeline (categoría de un catálogo fijo de Género que en este cubo nunca tiene valor), no un error puntual. Además, T8 real: 'Potosi' (sin tilde, en la fuente) -> 'Potosí' (con tilde, en el resultado)."
Resumen:,,,,,,,,,
"42 filas de cubo analizadas (fuente: APS, ADA, ADUANA, BBV, BCB, BOLCEREALES, MDRyT, MHE, MULTIPLES, FINRURAL) de 47 totales en este plan.",,,,,,,,,
FINRURAL: TODOS los cubos de esta fuente ya fueron analizados (8 de 8). Fuentes aún sin ningún cubo analizado: MMYM.,,,,,,,,,
